NO,date,hour,company,input
1,2025.06.01,00,tesla,9
2,2025.06.01,00,samsung,518
3,2025.06.01,00,apple,0
4,2025.06.01,00,Microsoft,862
5,2025.06.01,00,Amazon,1
6,2025.06.01,00,TSMC,922
7,2025.06.01,00,Google,"3,108"
8,2025.06.01,00,Broadcom,0
9,2025.06.01,00,Meta,"58,328"
10,2025.06.01,00,SaudiAramco,"13,363"
11,2025.06.01,01,tesla,15
12,2025.06.01,01,samsung,326
13,2025.06.01,01,Microsoft,508
14,2025.06.01,01,Amazon,1
15,2025.06.01,01,TSMC,452
16,2025.06.01,01,Google,"1,997"
17,2025.06.01,01,Broadcom,0
18,2025.06.01,01,Meta,"31,584"
19,2025.06.01,01,SaudiAramco,"13,205"
20,2025.06.01,02,tesla,5
21,2025.06.01,02,samsung,201
22,2025.06.01,02,apple,0
23,2025.06.01,02,Microsoft,263
24,2025.06.01,02,Amazon,13
25,2025.06.01,02,TSMC,298
26,2025.06.01,02,Google,"1,170"
27,2025.06.01,02,Broadcom,0
28,2025.06.01,02,Meta,"21,606"
29,2025.06.01,02,SaudiAramco,"8,447"
30,2025.06.01,03,tesla,1
31,2025.06.01,03,samsung,206
32,2025.06.01,03,Microsoft,231
33,2025.06.01,03,Amazon,100
34,2025.06.01,03,TSMC,185
35,2025.06.01,03,Google,873
36,2025.06.01,03,Broadcom,0
37,2025.06.01,03,Meta,"17,995"
38,2025.06.01,03,SaudiAramco,"5,770"
39,2025.06.01,04,tesla,23
40,2025.06.01,04,samsung,137
41,2025.06.01,04,apple,0
42,2025.06.01,04,Microsoft,216
43,2025.06.01,04,Amazon,22
44,2025.06.01,04,TSMC,128
45,2025.06.01,04,Google,774
46,2025.06.01,04,Broadcom,0
47,2025.06.01,04,Meta,"16,732"
48,2025.06.01,04,SaudiAramco,"5,460"
49,2025.06.01,05,tesla,12
50,2025.06.01,05,samsung,153
51,2025.06.01,05,Microsoft,645
52,2025.06.01,05,Amazon,9
53,2025.06.01,05,TSMC,148
54,2025.06.01,05,Google,932
55,2025.06.01,05,Broadcom,0
56,2025.06.01,05,Meta,"19,460"
57,2025.06.01,05,SaudiAramco,"5,565"
58,2025.06.01,06,tesla,249
59,2025.06.01,06,samsung,650
60,2025.06.01,06,Microsoft,"1,597"
61,2025.06.01,06,Amazon,25
62,2025.06.01,06,TSMC,244
63,2025.06.01,06,Google,"1,460"
64,2025.06.01,06,Broadcom,0
65,2025.06.01,06,Meta,"36,187"
66,2025.06.01,06,SaudiAramco,"7,562"
67,2025.06.01,07,tesla,252
68,2025.06.01,07,samsung,606
69,2025.06.01,07,Microsoft,"3,283"
70,2025.06.01,07,Amazon,"2,248"
71,2025.06.01,07,TSMC,304
72,2025.06.01,07,Google,"2,092"
73,2025.06.01,07,Broadcom,0
74,2025.06.01,07,Meta,"151,993"
75,2025.06.01,07,SaudiAramco,"23,741"
76,2025.06.01,08,tesla,272
77,2025.06.01,08,samsung,"2,561"
78,2025.06.01,08,apple,28
79,2025.06.01,08,Microsoft,"10,895"
80,2025.06.01,08,Amazon,384
81,2025.06.01,08,TSMC,"1,607"
82,2025.06.01,08,Google,"4,420"
83,2025.06.01,08,Broadcom,0
84,2025.06.01,08,Meta,"463,430"
85,2025.06.01,08,SaudiAramco,"81,989"
86,2025.06.01,09,tesla,202
87,2025.06.01,09,samsung,"16,947"
88,2025.06.01,09,apple,0
89,2025.06.01,09,Microsoft,"15,814"
90,2025.06.01,09,Amazon,"3,802"
91,2025.06.01,09,TSMC,"4,526"
92,2025.06.01,09,Google,"19,247"
93,2025.06.01,09,Broadcom,3
94,2025.06.01,09,Meta,"870,984"
95,2025.06.01,09,SaudiAramco,"193,583"
96,2025.06.01,10,tesla,107
97,2025.06.01,10,samsung,"7,248"
98,2025.06.01,10,apple,0
99,2025.06.01,10,Microsoft,"66,188"
100,2025.06.01,10,Amazon,"3,394"
101,2025.06.01,10,TSMC,"30,218"
102,2025.06.01,10,Google,"48,793"
103,2025.06.01,10,Broadcom,26
104,2025.06.01,10,Meta,"1,125,456"
105,2025.06.01,10,SaudiAramco,"323,993"
106,2025.06.01,11,tesla,125
107,2025.06.01,11,samsung,"11,242"
108,2025.06.01,11,apple,0
109,2025.06.01,11,Microsoft,"60,987"
110,2025.06.01,11,Amazon,"3,110"
111,2025.06.01,11,TSMC,"36,072"
112,2025.06.01,11,Google,"42,748"
113,2025.06.01,11,Broadcom,10
114,2025.06.01,11,Meta,"1,232,398"
115,2025.06.01,11,SaudiAramco,"383,544"
116,2025.06.01,12,tesla,134
117,2025.06.01,12,samsung,"16,848"
118,2025.06.01,12,apple,0
119,2025.06.01,12,Microsoft,"23,563"
120,2025.06.01,12,Amazon,"7,066"
121,2025.06.01,12,TSMC,"13,568"
122,2025.06.01,12,Google,"30,161"
123,2025.06.01,12,Broadcom,"73,921"
124,2025.06.01,12,Meta,"1,162,341"
125,2025.06.01,12,SaudiAramco,"203,216"
126,2025.06.01,13,tesla,131
127,2025.06.01,13,samsung,"8,040"
128,2025.06.01,13,apple,0
129,2025.06.01,13,Microsoft,"30,441"
130,2025.06.01,13,Amazon,"3,469"
131,2025.06.01,13,TSMC,"9,178"
132,2025.06.01,13,Google,"17,183"
133,2025.06.01,13,Broadcom,"72,652"
134,2025.06.01,13,Meta,"1,107,929"
135,2025.06.01,13,SaudiAramco,"188,269"
136,2025.06.01,14,tesla,278
137,2025.06.01,14,samsung,"10,461"
138,2025.06.01,14,apple,0
139,2025.06.01,14,Microsoft,"17,758"
140,2025.06.01,14,Amazon,"10,212"
141,2025.06.01,14,TSMC,"14,003"
142,2025.06.01,14,Google,"16,462"
143,2025.06.01,14,Broadcom,"47,164"
144,2025.06.01,14,Meta,"1,074,693"
145,2025.06.01,14,SaudiAramco,"146,864"
146,2025.06.01,15,tesla,101
147,2025.06.01,15,samsung,"1,551"
148,2025.06.01,15,apple,0
149,2025.06.01,15,Microsoft,"7,756"
150,2025.06.01,15,Amazon,"9,374"
151,2025.06.01,15,TSMC,"1,647"
152,2025.06.01,15,Google,"16,661"
153,2025.06.01,15,Broadcom,"80,009"
154,2025.06.01,15,Meta,"651,512"
155,2025.06.01,15,SaudiAramco,"421,633"
156,2025.06.01,16,tesla,101
157,2025.06.01,16,samsung,"1,501"
158,2025.06.01,16,apple,0
159,2025.06.01,16,Microsoft,"6,243"
160,2025.06.01,16,Amazon,"14,103"
161,2025.06.01,16,TSMC,"3,540"
162,2025.06.01,16,Google,"18,619"
163,2025.06.01,16,Broadcom,"49,962"
164,2025.06.01,16,Meta,"562,996"
165,2025.06.01,16,SaudiAramco,"295,231"
166,2025.06.01,17,tesla,133
