NO,date,hour,company,count
1,2025.01.01,00,intel,"3,077"
2,2025.01.01,00,tesla,16
3,2025.01.01,00,samsung,"56,953"
4,2025.01.01,00,apple,0
5,2025.01.01,00,Microsoft,"4,249"
6,2025.01.01,00,Amazon,462
7,2025.01.01,00,TSMintel,359
8,2025.01.01,00,Google,"5,713"
9,2025.01.01,00,Broadcom,0
10,2025.01.01,00,Meta,"78,389"
11,2025.01.01,00,SaudiAramco,"34,777"
12,2025.01.01,01,intel,"1,376"
13,2025.01.01,01,tesla,44
14,2025.01.01,01,samsung,392
15,2025.01.01,01,apple,0
16,2025.01.01,01,Microsoft,"2,090"
17,2025.01.01,01,Amazon,1
18,2025.01.01,01,TSMintel,164
19,2025.01.01,01,Google,"4,050"
20,2025.01.01,01,Broadcom,0
21,2025.01.01,01,Meta,"31,815"
22,2025.01.01,01,SaudiAramco,"10,676"
23,2025.01.01,02,intel,863
24,2025.01.01,02,tesla,18
25,2025.01.01,02,samsung,342
26,2025.01.01,02,Microsoft,"1,915"
27,2025.01.01,02,Amazon,18
28,2025.01.01,02,TSMintel,116
29,2025.01.01,02,Google,"2,824"
30,2025.01.01,02,Broadcom,0
31,2025.01.01,02,Meta,"22,600"
32,2025.01.01,02,SaudiAramco,"7,741"
33,2025.01.01,03,intel,563
34,2025.01.01,03,tesla,10
35,2025.01.01,03,samsung,214
36,2025.01.01,03,Microsoft,"1,058"
37,2025.01.01,03,Amazon,0
38,2025.01.01,03,TSMintel,103
39,2025.01.01,03,Google,"1,766"
40,2025.01.01,03,Broadcom,0
41,2025.01.01,03,Meta,"16,775"
42,2025.01.01,03,SaudiAramco,"6,963"
43,2025.01.01,04,intel,418
44,2025.01.01,04,tesla,9
45,2025.01.01,04,samsung,175
46,2025.01.01,04,apple,0
47,2025.01.01,04,Microsoft,850
48,2025.01.01,04,Amazon,16
49,2025.01.01,04,TSMintel,60
50,2025.01.01,04,Google,"1,484"
51,2025.01.01,04,Broadcom,0
52,2025.01.01,04,Meta,"15,250"
53,2025.01.01,04,SaudiAramco,"5,500"
54,2025.01.01,05,intel,771
55,2025.01.01,05,tesla,2
56,2025.01.01,05,samsung,179
57,2025.01.01,05,apple,0
58,2025.01.01,05,Microsoft,876
59,2025.01.01,05,Amazon,12
60,2025.01.01,05,TSMintel,102
61,2025.01.01,05,Google,"1,587"
62,2025.01.01,05,Broadcom,0
63,2025.01.01,05,Meta,"16,964"
64,2025.01.01,05,SaudiAramco,"6,134"
65,2025.01.01,06,intel,"2,316"
66,2025.01.01,06,tesla,355
67,2025.01.01,06,samsung,325
68,2025.01.01,06,Microsoft,"2,710"
69,2025.01.01,06,Amazon,129
70,2025.01.01,06,TSMintel,443
71,2025.01.01,06,Google,"1,804"
72,2025.01.01,06,Broadcom,0
73,2025.01.01,06,Meta,"35,713"
74,2025.01.01,06,SaudiAramco,"8,530"
75,2025.01.01,07,intel,"5,983"
76,2025.01.01,07,tesla,211
77,2025.01.01,07,samsung,667
78,2025.01.01,07,apple,0
79,2025.01.01,07,Microsoft,"12,428"
80,2025.01.01,07,Amazon,"2,205"
81,2025.01.01,07,TSMintel,"2,943"
82,2025.01.01,07,Google,"3,545"
83,2025.01.01,07,Broadcom,0
84,2025.01.01,07,Meta,"244,063"
85,2025.01.01,07,SaudiAramco,"78,046"
86,2025.01.01,08,intel,"35,731"
87,2025.01.01,08,tesla,277
88,2025.01.01,08,samsung,"1,724"
89,2025.01.01,08,apple,28
90,2025.01.01,08,Microsoft,"58,257"
91,2025.01.01,08,Amazon,"1,422"
92,2025.01.01,08,TSMintel,"8,968"
93,2025.01.01,08,Google,"15,586"
94,2025.01.01,08,Broadcom,0
95,2025.01.01,08,Meta,"942,141"
96,2025.01.01,08,SaudiAramco,"333,468"
97,2025.01.01,09,intel,"71,553"
98,2025.01.01,09,tesla,502
99,2025.01.01,09,samsung,"7,029"
100,2025.01.01,09,apple,0
101,2025.01.01,09,Microsoft,"84,273"
102,2025.01.01,09,Amazon,"9,945"
103,2025.01.01,09,TSMintel,"10,321"
